id,value,feed_id,created_at,lat,lon,ele
0EADWDSSWWSSEXJQ0XBV6KD89D,"51.9,37.2,41.3,38.0,33.8,37.1,105.5,,59.8,,36.5, , 38.2,71.3,995.0,499.4,130.5",1235641,2019-12-01 02:28:01 UTC,,,
0EADWDYC6QVRN0VJ3GRCTYFK03,"51.9,37.2,41.4,38.2,33.8,37.2,105.5,,59.7,,36.4, , 38.3,71.3,995.0,499.4,130.3",1235641,2019-12-01 02:28:16 UTC,,,
0EADWE2Z35JZWV1NQ0977P019G,"52.0,37.3,41.4,38.2,33.8,37.3,105.7,,59.9,,36.3, , 38.4,71.4,995.0,499.4,130.2",1235641,2019-12-01 02:28:31 UTC,,,
0EADWE7HH26H0J6MEYDK6F1KP5,"52.1,37.3,41.5,38.3,33.8,37.4,105.8,,60.0,,36.3, , 38.4,71.5,995.1,499.4,130.0",1235641,2019-12-01 02:28:46 UTC,,,
0EADWEC3XRPE139E4PMH229HGZ,"52.2,37.4,41.5,38.3,33.8,37.5,106.0,,60.0,,36.5, , 38.5,71.6,995.1,499.4,129.3",1235641,2019-12-01 02:29:01 UTC,,,
0EADWEGP80JYJQK52ZAA0YVDYJ,"52.2,37.5,41.6,38.3,33.9,37.5,106.1,,60.2,,36.5, , 38.5,71.6,995.1,498.8,129.5",1235641,2019-12-01 02:29:16 UTC,,,
0EADWEN8WAG69P0YQANFWNKBPD,"52.4,37.5,41.8,38.4,33.9,37.6,106.2,,60.5,,36.5, , 38.6,71.6,995.1,499.4,130.4",1235641,2019-12-01 02:29:31 UTC,,,
0EADWESVFTDPY7M25S4038GRJP,"52.6,37.6,41.8,38.5,33.9,37.9,106.3,,60.7,,36.5, , 38.6,71.7,995.1,498.8,129.7",1235641,2019-12-01 02:29:46 UTC,,,
0EADWEYDPDPM855T13RYADRDBJ,"52.6,37.7,41.8,38.5,33.9,37.9,106.4,,60.8,,36.5, , 38.7,71.8,995.1,496.3,129.8",1235641,2019-12-01 02:30:01 UTC,,,
0EADWF308B4Y9G28X4WBGPPP7H,"52.8,37.7,41.9,38.6,33.9,38.0,106.5,,60.9,,36.6, , 38.8,71.8,995.1,496.3,129.5",1235641,2019-12-01 02:30:16 UTC,,,
0EADWF7JVADXWAR7P9PR24BTKP,"52.9,37.9,42.0,38.6,33.9,38.1,106.7,,61.3,,36.6, , 38.8,71.8,995.2,496.3,129.4",1235641,2019-12-01 02:30:31 UTC,,,
0EADWFC53GDJ71SVYAQ359R08C,"52.9,37.9,42.1,38.7,33.9,38.2,107.0,,61.5,,37.0, , 38.9,71.9,995.2,496.3,129.6",1235641,2019-12-01 02:30:46 UTC,,,
0EADWFGQJFS0VST1WAR5CJ3092,"52.9,38.0,42.1,38.7,33.9,38.2,107.0,,61.5,,36.8, , 38.9,72.0,995.1,498.8,128.6",1235641,2019-12-01 02:31:01 UTC,,,
0EADWFNACVMGXPRP3811MC1TM0,"53.0,38.1,42.2,38.8,34.0,38.4,107.1,,61.6,,36.8, , 39.0,72.0,995.1,498.8,128.4",1235641,2019-12-01 02:31:16 UTC,,,
0EADWFSWRMKTZVNR3SWYFF7R05,"53.1,38.2,42.3,38.9,34.0,38.4,107.0,,61.7,,37.0, , 39.0,72.1,995.1,495.8,128.2",1235641,2019-12-01 02:31:31 UTC,,,
0EADWFYF1H10FJX3NP5PJ48GFN,"53.1,38.2,42.3,38.9,34.0,38.5,106.9,,61.7,,37.1, , 39.1,72.1,995.1,496.3,128.7",1235641,2019-12-01 02:31:46 UTC,,,
0EADWG31R9BY78DEVPAGM78AMB,"53.1,38.3,42.3,39.1,34.0,38.6,107.0,,61.9,,36.8, , 39.1,72.2,995.1,496.3,128.2",1235641,2019-12-01 02:32:01 UTC,,,
0EADWG7M53RYA6E0CGZANZKEXW,"53.1,38.4,42.4,39.1,34.0,38.6,107.3,,61.8,,36.6, , 39.2,72.3,995.1,496.3,127.9",1235641,2019-12-01 02:32:16 UTC,,,
0EADWGC6J4F881YRYH64FPFXCY,"53.2,38.4,42.5,39.2,34.1,38.8,107.4,,62.2,,36.6, , 39.3,72.3,995.2,498.8,127.5",1235641,2019-12-01 02:32:31 UTC,,,
0EADWGGSJMGYVQGBYVKP0GJETZ,"53.3,38.5,42.7,39.3,34.1,38.8,107.5,,62.3,,36.6, , 39.3,72.4,995.2,498.8,128.6",1235641,2019-12-01 02:32:46 UTC,,,
